conversion_id,customer_id,campaign_id,conversion_date,conversion_stage
CONV005979,CUST009530,CAMP0127,2025-05-06,Lead
CONV005980,CUST009760,CAMP0176,11/01/2025,MQL
CONV005981,CUST007823,CAMP0123,2025-11-16,Opportunity
CONV005982,CUST000384,CAMP0008,07/19/2024,Customer
CONV005983,CUST003014,CAMP0147,2023-09-01,Lead
CONV005984,CUST007273,CAMP0104,2024-10-12,MQL
CONV005985,CUST006963,CAMP0172,2025-05-22,SQL
CONV005986,CUST005334,CAMP0129,23-08-2025,Opportunity
CONV005987,CUST006991,CAMP0132,30-04-2025,MQL
CONV005988,CUST007973,CAMP0041,26-06-2026,Lead
CONV005989,CUST009895,CAMP0164,2024-07-14,Customer
CONV005990,CUST008603,CAMP0159,10-08-2025,Lead
CONV005991,CUST004567,CAMP0105,2023-04-07,MQL
CONV005992,CUST001859,CAMP0076,2024-07-31,Opportunity
CONV005993,CUST000617,CAMP0028,23-09-2024,Opportunity
CONV005994,CUST005172,CAMP0170,08-08-2025,Customer
CONV005995,CUST005269,CAMP0034,2026-04-21,Customer
CONV005996,CUST004687,CAMP0164,2025-01-06,SQL
CONV005997,CUST004110,CAMP0039,2025-12-31,
CONV005998,CUST009781,CAMP0022,2025-11-28,SQL
CONV005999,CUST000121,CAMP0089,04-09-2023,MQL
CONV006000,CUST008060,CAMP0053,2024-03-31,Opportunity
CONV006001,CUST000203,CAMP0122,2025-06-06,Opportunity
CONV006002,CUST002951,CAMP0138,2023-06-30,Customer
CONV006003,CUST000566,CAMP0151,02/17/2023,MQL
CONV006004,CUST000623,CAMP0013,2023-08-29,SQL
CONV006005,CUST007983,CAMP0019,28-06-2025,Lead
CONV006006,CUST002525,CAMP0124,2025-02-14,Lead
CONV006007,CUST002747,CAMP0031,2024-10-28,Lead
CONV006008,CUST000733,CAMP0126,2023-05-09,Opportunity
CONV006009,CUST009213,CAMP0067,2026-07-20,SQL
CONV006010,CUST007541,CAMP0165,26-03-2026,SQL
CONV006011,CUST006320,CAMP0088,2026-07-14,Customer
CONV006012,CUST008090,CAMP0046,2024-02-16,Opportunity
CONV006013,CUST008659,CAMP0047,2024-03-18,Opportunity
CONV006014,CUST004957,CAMP0095,,Opportunity
CONV006015,CUST000579,CAMP0010,20 Aug 2025,MQL
CONV006016,CUST004836,CAMP0015,10 Jun 2025,Lead
CONV006017,CUST006445,CAMP0007,2024-07-17,Opportunity
CONV006018,CUST008441,CAMP0111,2025-04-28,MQL
CONV006019,CUST007682,CAMP0127,11-12-2023,Customer
CONV006020,CUST004369,CAMP0026,2023-10-03,SQL
CONV006021,CUST007933,CAMP0122,15-11-2024,MQL
CONV006022,CUST006964,CAMP0181,2023-09-30,Customer
CONV006023,CUST001460,CAMP0117,,Opportunity
CONV006024,CUST000190,CAMP0109,2026-07-29,SQL
CONV006025,CUST004850,CAMP0202,03/13/2026,Lead
CONV006026,CUST008908,CAMP0209,2026-04-04,Opportunity
CONV006027,CUST004091,CAMP0152,2023-10-21,Lead
CONV006028,CUST001373,CAMP0190,12/25/2024,MQL
CONV006029,CUST000671,CAMP0036,,Opportunity
CONV006030,CUST008898,CAMP0198,2025-06-29,SQL
CONV006031,CUST008830,CAMP0165,2025-04-15,SQL
CONV006032,CUST003751,CAMP0133,10-05-2023,MQL
CONV006033,CUST003560,CAMP0119,01 Jul 2026,SQL
CONV006034,CUST004560,CAMP0196,2026-01-02,MQL
CONV006035,CUST000873,CAMP0181,07/04/2023,Customer
CONV006036,CUST002876,CAMP0006,18-03-2026,Customer
CONV006037,CUST004372,CAMP0069,2024-01-13,Lead
CONV006038,CUST000546,CAMP0148,03/04/2025,Opportunity
CONV006039,CUST007991,CAMP0073,2025-08-10,Opportunity
CONV006040,CUST005412,CAMP0214,02/07/2025,Opportunity
CONV006041,CUST009021,CAMP0002,09-09-2023,Customer
CONV006042,CUST003495,CAMP0154,19-05-2024,Lead
CONV006043,CUST002181,CAMP0165,22-10-2025,
CONV006044,CUST006747,CAMP0174,2026-03-21,MQL
CONV006045,CUST002093,CAMP0045,23 Feb 2023,MQL
CONV006046,CUST008324,CAMP0061,2025-01-06,Opportunity
CONV006047,CUST003744,CAMP0052,11/14/2024,SQL
CONV006048,CUST004032,CAMP0085,2025-06-17,MQL
CONV006049,CUST001843,CAMP0056,22-02-2026,Opportunity
CONV006050,CUST000923,CAMP0081,09-12-2024,Lead
CONV006051,CUST001209,CAMP0215,2024-08-11,SQL
CONV006052,CUST004598,CAMP0191,31-01-2025,Customer
CONV006053,CUST008107,CAMP0164,26 Dec 2023,Customer
CONV006054,CUST001807,CAMP0071,07-02-2025,SQL
CONV006055,CUST001656,CAMP0152,2023-02-23,SQL
CONV006056,CUST004611,CAMP0065,2023-10-12,Customer
CONV006057,CUST004780,CAMP0033,17-04-2025,MQL
CONV006058,CUST005054,CAMP0212,05-03-2025,SQL
CONV006059,CUST001299,CAMP0149,2024-04-23,Customer
CONV006060,CUST008251,CAMP0025,04/05/2025,SQL
CONV006061,CUST007138,CAMP0187,2026-07-12,SQL
CONV006062,CUST006067,CAMP0147,2025-11-04,Lead
CONV006063,CUST900050,CAMP0123,2024-01-03,SQL
CONV006064,CUST005415,CAMP0051,2024-03-13,SQL
CONV006065,CUST000365,CAMP0206,2026-03-16,SQL
CONV006066,CUST007344,CAMP0009,2024-05-22,SQL
CONV006067,CUST005124,CAMP0092,11-11-2025,MQL
CONV006068,CUST009056,CAMP0022,08/15/2025,SQL
CONV006069,CUST002134,CAMP0199,,Customer
CONV006070,CUST006058,CAMP0183,21-09-2024,Lead
CONV006071,CUST003809,CAMP0033,2024-01-13,Opportunity
CONV006072,CUST000274,CAMP0045,2025-07-09,MQL
CONV006073,CUST007700,CAMP0095,22-11-2023,Customer
CONV006074,CUST005579,CAMP0190,2025-04-15,Lead
CONV006075,CUST002989,CAMP0001,16-02-2023,Customer
CONV006076,CUST009547,CAMP0003,2024-09-24,MQL
CONV006077,CUST000716,CAMP0137,2026-06-18,Lead
CONV006078,CUST001116,CAMP0138,2025-12-15,Opportunity
CONV006079,CUST007072,CAMP0112,,SQL
CONV006080,CUST005709,CAMP0202,03-03-2025,Lead
CONV006081,CUST002774,CAMP0191,16 Nov 2025,MQL
CONV006082,CUST000008,CAMP0140,2023-03-12,Customer
CONV006083,CUST001436,CAMP0104,11/15/2025,MQL
CONV006084,CUST006403,CAMP0199,,Customer
CONV006085,CUST001031,CAMP0007,2023-12-16,Customer
CONV006086,CUST008451,CAMP0075,2025-03-07,Opportunity
CONV006087,CUST004889,CAMP0188,2025-05-15,Opportunity
CONV006088,CUST007829,CAMP0096,05 Mar 2025,Lead
CONV006089,CUST003809,CAMP0149,24-07-2024,Opportunity
CONV006090,CUST001320,CAMP0068,2026-07-21,Opportunity
CONV006091,CUST000008,CAMP0169,2023-12-24,Customer
CONV006092,CUST002851,CAMP0018,2025-08-17,Customer
CONV006093,CUST008806,CAMP0170,2024-03-19,Opportunity
CONV006094,CUST009742,CAMP0115,2024-02-22,SQL
CONV006095,CUST005479,CAMP0033,05/09/2026,Opportunity
CONV006096,CUST001001,CAMP0136,07-03-2026,MQL
CONV006097,CUST007484,CAMP0075,08/04/2023,Lead
CONV006098,CUST900016,CAMP0047,31-05-2025,Opportunity
CONV006099,CUST004347,CAMP0152,04/22/2023,MQL
CONV006100,CUST003716,CAMP0188,09/27/2023,Customer
CONV006101,CUST007997,CAMP0180,2023-05-01,MQL
CONV006102,CUST001875,CAMP0123,2024-03-27,SQL
CONV006103,CUST008278,CAMP0121,2026-05-29,Lead
CONV006104,CUST001229,CAMP0217,12/31/2024,MQL
CONV006105,CUST002319,CAMP0029,2023-08-29,Opportunity
CONV006106,CUST004546,CAMP0029,2025-03-17,SQL
CONV006107,CUST003835,CAMP0160,10/30/2023,SQL
CONV006108,CUST003207,CAMP0021,2023-08-27,Lead
CONV006109,CUST004128,CAMP0181,05-09-2025,SQL
CONV006110,CUST004584,CAMP0143,02-02-2023,Customer
CONV006111,CUST002816,CAMP0127,2024-11-06,Lead
CONV006112,CUST006185,CAMP0077,,SQL
CONV006113,CUST000398,CAMP0028,2024-05-07,Customer
CONV006114,CUST009455,CAMP0152,09/29/2024,Customer
CONV006115,CUST001523,CAMP0083,2024-04-14,SQL
CONV006116,CUST006270,CAMP0109,2026-01-17,Lead
CONV006117,CUST001304,CAMP0027,06/15/2026,SQL
CONV006118,CUST008320,CAMP0161,2024-07-14,Customer
CONV006119,CUST007449,CAMP0020,2025-03-14,Lead
CONV006120,CUST000145,CAMP0105,10/28/2024,Opportunity
CONV006121,CUST001999,CAMP0032,2026-07-24,SQL
CONV006122,CUST007040,CAMP0140,2023-02-02,SQL
CONV006123,CUST004090,CAMP0173,15 Jan 2025,MQL
CONV006124,CUST009618,CAMP0043,24 Sep 2023,Lead
CONV006125,CUST000236,CAMP0014,2023-06-14,Customer
CONV006126,CUST003879,CAMP0060,2024-03-05,Opportunity
CONV006127,CUST006426,CAMP0127,03-02-2024,SQL
CONV006128,CUST002303,CAMP0150,2025-01-18,SQL
CONV006129,CUST000366,CAMP0090,2025-04-12,MQL
CONV006130,CUST007142,CAMP0022,25-02-2023,Customer
CONV006131,CUST005424,CAMP0097,2024-03-05,MQL
CONV006132,CUST000792,CAMP0120,2024-02-03,Customer
CONV006133,CUST003433,CAMP0144,2024-02-08,Customer
CONV006134,CUST004524,CAMP0054,01/08/2025,Lead
CONV006135,CUST004440,CAMP0104,27-04-2023,MQL
CONV006136,CUST009208,CAMP0110,07-06-2024,Customer
CONV006137,CUST000911,CAMP0173,06/10/2026,Lead
CONV006138,CUST000300,CAMP0081,26-12-2023,Lead
CONV006139,CUST008647,CAMP0069,22-10-2025,Opportunity
CONV006140,CUST003057,CAMP0018,04-06-2025,SQL
CONV006141,CUST001015,CAMP0004,2025-03-30,SQL
CONV006142,CUST005197,CAMP0163,20-01-2023,Opportunity
CONV006143,CUST900032,CAMP0220,04-09-2023,Lead
CONV006144,CUST007397,CAMP0143,08/18/2025,Lead
CONV006145,CUST002565,CAMP0106,2025-05-26,Opportunity
CONV006146,CUST001731,CAMP0105,2026-07-13,Lead
CONV006147,CUST003058,CAMP0200,2025-01-05,Opportunity
CONV006148,CUST006802,CAMP0196,2025-09-30,SQL
CONV006149,CUST001716,CAMP0084,25-03-2026,Customer
CONV006150,CUST004802,CAMP0048,2024-12-28,Customer
CONV006151,CUST004155,CAMP0003,2024-11-13,Lead
CONV006152,CUST900033,CAMP0053,2023-12-06,Customer
CONV006153,CUST005601,CAMP0174,2024-05-31,Customer
CONV006154,CUST005633,CAMP0068,07/02/2026,SQL
CONV006155,CUST004251,CAMP0201,12/23/2024,SQL
CONV006156,CUST005870,CAMP0002,11/24/2023,Opportunity
CONV006157,CUST001815,CAMP0023,2026-02-27,Lead
CONV006158,CUST009031,CAMP0002,2025-04-27,Opportunity
CONV006159,CUST004232,CAMP0067,02-08-2024,SQL
CONV006160,CUST000640,CAMP0108,12/15/2023,SQL
CONV006161,CUST008359,CAMP0218,2024-12-05,Lead
CONV006162,CUST005888,CAMP0128,2026-05-27,SQL
CONV006163,CUST000455,CAMP0073,2023-10-11,MQL
CONV006164,CUST006397,CAMP0122,2023-01-14,MQL
CONV006165,CUST006589,CAMP0035,2026-06-05,Lead
CONV006166,CUST002658,CAMP0008,28-10-2023,MQL
CONV006167,CUST003457,CAMP0081,10/13/2025,Customer
CONV006168,CUST003294,CAMP0162,2026-01-12,Lead
CONV006169,CUST004245,CAMP0156,2023-03-06,Opportunity
CONV006170,CUST001782,CAMP0064,06-08-2024,SQL
CONV006171,CUST009326,CAMP0095,04-08-2023,Customer
CONV006172,CUST000057,CAMP0075,07/17/2025,MQL
CONV006173,CUST001275,CAMP0204,2024-05-20,Opportunity
CONV006174,CUST000382,CAMP0075,30-05-2024,Opportunity
CONV006175,CUST008497,CAMP0037,2025-03-19,MQL
CONV006176,CUST002585,CAMP0194,2024-10-10,MQL
CONV006177,CUST001303,CAMP0188,2025-04-21,SQL
CONV006178,CUST005218,CAMP0074,2024-11-27,SQL
CONV006179,CUST003661,CAMP0010,08-06-2026,Customer
CONV006180,CUST004459,CAMP0048,2025-08-19,Opportunity
CONV006181,CUST006399,CAMP0056,2025-04-07,SQL
CONV006182,CUST002861,CAMP0157,2024-10-29,Opportunity
CONV006183,CUST009858,CAMP0204,01/21/2023,Lead
CONV006184,CUST002840,CAMP0173,2024-12-27,SQL
CONV006185,CUST005619,CAMP0005,2023-03-28,MQL
CONV006186,CUST007913,CAMP0006,2025-08-12,Opportunity
CONV006187,CUST005658,CAMP0197,2025-07-21,Opportunity
CONV006188,CUST005372,CAMP0202,02/25/2023,SQL
CONV006189,CUST005672,CAMP0004,24 Jan 2023,Customer
CONV006190,CUST007623,CAMP0070,2024-08-25,Opportunity
CONV006191,CUST001391,CAMP0024,2025-07-18,MQL
CONV006192,CUST007202,CAMP0218,2023-10-14,Customer
CONV006193,CUST001057,CAMP0099,2026-06-07,Opportunity
CONV006194,CUST005144,CAMP0037,14-08-2025,MQL
CONV006195,CUST007071,CAMP0173,2025-06-23,MQL
CONV006196,CUST000772,CAMP0177,,Customer
CONV006197,CUST005739,CAMP0064,27-01-2025,MQL
CONV006198,CUST003727,CAMP0095,2026-03-28,Opportunity
CONV006199,CUST002727,CAMP0068,2023-08-29,Customer
CONV006200,CUST008709,CAMP0064,02-04-2025,Customer
CONV006201,CUST000622,CAMP0138,2025-12-10,Lead
CONV006202,CUST001677,CAMP0129,26-05-2023,MQL
CONV006203,CUST003175,CAMP0082,05/04/2023,Opportunity
CONV006204,CUST009387,CAMP0005,2024-05-27,MQL
CONV006205,CUST004394,CAMP0062,02/13/2023,Opportunity
CONV006206,CUST008090,CAMP0176,29-11-2025,MQL
CONV006207,CUST005189,CAMP0055,01/22/2025,Opportunity
CONV006208,CUST009761,CAMP0197,06/27/2025,SQL
CONV006209,CUST001968,CAMP0004,12 Aug 2025,Customer
CONV006210,CUST002415,CAMP0183,2025-12-20,SQL
CONV006211,CUST004503,CAMP0219,2023-08-12,SQL
CONV006212,CUST008550,CAMP0124,2023-12-03,Customer
CONV006213,CUST007594,CAMP0024,2026-01-02,MQL
CONV006214,CUST005395,CAMP0150,05-11-2025,SQL
CONV006215,CUST007650,CAMP0214,14 Jul 2026,Opportunity
CONV006216,CUST001659,CAMP0034,2023-09-28,Opportunity
CONV006217,CUST009141,CAMP0101,,SQL
CONV006218,CUST009803,CAMP0193,2025-07-28,
CONV006219,CUST004012,CAMP0148,02/26/2026,Opportunity
CONV006220,CUST003336,CAMP0215,,Customer
CONV006221,CUST002505,CAMP0207,2024-06-10,SQL
CONV006222,CUST006158,CAMP0163,07-08-2023,Lead
CONV006223,CUST002612,CAMP0213,2025-10-22,MQL
CONV006224,CUST002488,CAMP0145,2024-05-30,SQL
CONV006225,CUST008551,CAMP0060,23-03-2026,Lead
CONV006226,CUST000867,CAMP0071,2023-02-08,Lead
CONV006227,CUST007571,CAMP0119,2024-07-27,Opportunity
CONV006228,CUST000326,CAMP0112,05/23/2025,Lead
CONV006229,CUST003920,CAMP0121,20-02-2025,Lead
CONV006230,CUST001224,CAMP0213,06-05-2024,Lead
CONV006231,CUST004532,CAMP0036,2025-10-05,Opportunity
CONV006232,CUST002642,CAMP0060,2024-03-05,Customer
CONV006233,CUST002416,CAMP0167,04 Dec 2025,MQL
CONV006234,CUST005702,CAMP0180,2026-04-23,Customer
CONV006235,CUST009056,CAMP0032,2024-12-01,Customer
CONV006236,CUST004874,CAMP0046,11 Oct 2024,Lead
CONV006237,CUST000619,CAMP0154,,SQL
CONV006238,CUST002674,CAMP0212,2024-03-20,Opportunity
CONV006239,CUST007972,CAMP0006,2025-02-11,MQL
CONV006240,CUST007154,CAMP0182,2024-11-04,Customer
CONV006241,CUST002985,CAMP0024,24 Jul 2026,Lead
CONV006242,CUST008764,CAMP0160,2024-07-29,SQL
CONV006243,CUST009460,CAMP0209,05/06/2025,Lead
CONV006244,CUST009809,CAMP0115,09/02/2025,SQL
CONV006245,CUST003726,CAMP0175,14-02-2025,Customer
CONV006246,CUST001359,CAMP0177,2023-05-08,SQL
CONV006247,CUST007922,CAMP0106,2023-12-26,Opportunity
CONV006248,CUST007857,CAMP0146,2025-03-04,Lead
CONV006249,CUST003406,CAMP0196,,Customer
CONV006250,CUST002325,CAMP0027,08/29/2025,MQL
CONV006251,CUST001699,CAMP0050,29 Mar 2023,Lead
CONV006252,CUST003904,CAMP0042,07/23/2026,SQL
CONV006253,CUST000587,CAMP0219,2023-09-26,Lead
CONV006254,CUST004476,CAMP0068,2023-10-24,Lead
CONV006255,CUST006486,CAMP0020,2025-11-29,Customer
CONV006256,CUST004387,CAMP0138,2024-10-31,MQL
CONV006257,CUST004056,CAMP0192,2025-11-11,MQL
CONV006258,CUST007062,CAMP0028,18-05-2024,Opportunity
CONV006259,CUST001202,CAMP0096,2026-03-10,Lead
CONV006260,CUST007781,CAMP0195,12/24/2023,MQL
CONV006261,CUST009649,CAMP0090,2024-04-24,Customer
CONV006262,CUST002497,CAMP0073,29-04-2023,MQL
CONV006263,CUST002724,CAMP0013,2024-05-05,Lead
CONV006264,CUST000814,CAMP0183,29-01-2026,Lead
CONV006265,CUST008467,CAMP0076,01/22/2024,Lead
CONV006266,CUST007920,CAMP0114,02/02/2025,Customer
CONV006267,CUST009271,CAMP0091,2025-06-17,SQL
CONV006268,CUST009237,CAMP0098,2024-04-13,Customer
CONV006269,CUST000133,CAMP0057,14-07-2025,Customer
CONV006270,CUST008222,CAMP0220,09/20/2025,Opportunity
CONV006271,CUST003906,CAMP0201,2023-08-09,Opportunity
CONV006272,CUST008921,CAMP0024,10/27/2024,Customer
CONV006273,CUST005546,CAMP0159,2025-12-02,Customer
CONV006274,CUST007686,CAMP0026,,Lead
CONV006275,CUST007180,CAMP0109,,Lead
CONV006276,CUST004216,CAMP0198,2023-05-27,Opportunity
CONV006277,CUST009551,CAMP0103,2025-04-20,Customer
CONV006278,CUST006354,CAMP0181,2023-06-25,MQL
CONV006279,CUST003796,CAMP0209,03/10/2026,Customer
CONV006280,CUST003611,CAMP0187,17-01-2023,Opportunity
CONV006281,CUST002705,CAMP0041,2025-08-01,MQL
CONV006282,CUST006117,CAMP0152,2024-02-01,Customer
CONV006283,CUST009186,CAMP0013,2026-01-30,SQL
CONV006284,CUST007501,CAMP0012,2024-05-27,Lead
CONV006285,CUST000203,CAMP0122,2023-05-11,MQL
CONV006286,CUST002031,CAMP0203,20-03-2023,Lead
CONV006287,CUST004826,CAMP0180,09/25/2025,Opportunity
CONV006288,CUST002333,CAMP0100,2026-04-28,Customer
CONV006289,CUST003140,CAMP0005,08-07-2026,SQL
CONV006290,CUST006268,CAMP0088,2026-07-13,Lead
CONV006291,CUST001798,CAMP0166,06/03/2024,SQL
CONV006292,CUST009277,CAMP0129,2025-08-26,MQL
CONV006293,CUST003789,CAMP0185,02 Mar 2023,Customer
CONV006294,CUST008746,CAMP0110,,SQL
CONV006295,CUST002962,CAMP0156,2025-12-20,SQL
CONV006296,CUST008391,CAMP0186,2025-05-29,Customer
CONV006297,CUST009697,CAMP0134,2023-07-07,Customer
CONV006298,CUST000304,CAMP0049,2025-07-08,SQL
CONV006299,CUST009568,CAMP0195,,MQL
CONV006300,CUST002326,CAMP0069,2023-07-17,Lead
CONV006301,CUST005310,CAMP0097,26-10-2025,Opportunity
CONV006302,CUST005378,CAMP0194,18-08-2023,Opportunity
CONV006303,CUST008406,CAMP0162,2024-07-16,SQL
CONV006304,CUST006729,CAMP0154,26-12-2023,MQL
CONV006305,CUST007897,CAMP0037,17-10-2024,SQL
CONV006306,CUST002205,CAMP0123,2025-12-08,MQL
CONV006307,CUST007806,CAMP0147,2024-06-19,Lead
CONV006308,CUST009958,CAMP0051,2026-01-23,Lead
CONV006309,CUST003101,CAMP0127,2023-08-08,SQL
CONV006310,CUST005086,CAMP0094,25-06-2026,Opportunity
CONV006311,CUST006216,CAMP0132,06/06/2026,MQL
CONV006312,CUST000443,CAMP0012,13 Apr 2023,Lead
CONV006313,CUST001538,CAMP0090,2023-02-23,Lead
CONV006314,CUST003071,CAMP0175,16-11-2025,Lead
CONV006315,CUST008105,CAMP0040,08/12/2023,MQL
CONV006316,CUST007858,CAMP0153,2025-07-13,Customer
CONV006317,CUST004003,CAMP0097,2025-11-09,MQL
CONV006318,CUST001550,CAMP0220,2024-02-23,SQL
CONV006319,CUST008313,CAMP0027,17-12-2023,Lead
CONV006320,CUST006066,CAMP0078,24-09-2024,MQL
CONV006321,CUST002823,CAMP0080,2023-03-27,Lead
CONV006322,CUST001527,CAMP0003,07-02-2025,Opportunity
CONV006323,CUST001173,CAMP0007,2025-10-18,Lead
CONV006324,CUST004922,CAMP0049,2026-07-16,SQL
CONV006325,CUST009013,CAMP0086,2025-06-22,MQL
CONV006326,CUST007497,CAMP0036,2023-09-05,MQL
CONV006327,CUST008248,CAMP0175,2025-01-18,MQL
CONV006328,CUST002812,CAMP0194,17-10-2024,SQL
CONV006329,CUST002408,CAMP0126,10/21/2025,MQL
CONV006330,CUST009976,CAMP0152,01/09/2024,Opportunity
CONV006331,CUST002067,CAMP0044,2024-11-22,SQL
CONV006332,CUST008128,CAMP0073,05 Jul 2026,Customer
CONV006333,CUST009362,CAMP0200,08-09-2025,SQL
CONV006334,CUST001660,CAMP0026,,Lead
CONV006335,CUST004294,CAMP0112,13-10-2023,Customer
CONV006336,CUST006708,CAMP0212,03/12/2025,Lead
CONV006337,CUST001771,CAMP0025,2025-11-29,Lead
CONV006338,CUST009864,CAMP0090,2024-03-20,Lead
CONV006339,CUST001027,CAMP0098,2025-07-03,SQL
CONV006340,CUST008837,CAMP0012,2024-08-19,MQL
CONV006341,CUST005895,CAMP0039,2025-05-15,Lead
CONV006342,CUST005433,CAMP0220,13 Mar 2025,SQL
CONV006343,CUST000449,CAMP0024,02/23/2026,Customer
CONV006344,CUST001407,CAMP0132,15-04-2025,Opportunity
CONV006345,CUST005563,CAMP0002,2023-04-14,Customer
CONV006346,CUST002005,CAMP0022,2023-02-03,Customer
CONV006347,CUST003869,CAMP0167,2024-08-04,MQL
CONV006348,CUST008956,CAMP0063,2023-12-11,Lead
CONV006349,CUST002294,CAMP0045,2023-06-09,Lead
CONV006350,CUST008651,CAMP0166,2026-01-24,Opportunity
CONV006351,CUST008924,CAMP0185,2023-01-25,MQL
CONV006352,CUST001249,CAMP0021,,MQL
CONV006353,CUST008042,CAMP0019,11-12-2024,Lead
CONV006354,CUST008719,CAMP0057,,Lead
CONV006355,CUST002209,CAMP0091,07/20/2026,Lead
CONV006356,CUST001425,CAMP0168,2025-03-15,MQL
CONV006357,CUST000817,CAMP0162,06/23/2026,Customer
CONV006358,CUST002514,CAMP0051,2024-02-20,Lead
CONV006359,CUST007174,CAMP0122,2026-01-12,Customer
CONV006360,CUST008219,CAMP0187,2024-07-02,Customer
CONV006361,CUST006239,CAMP0075,2024-09-01,Opportunity
CONV006362,CUST001326,CAMP0114,2025-05-05,Lead
CONV006363,CUST002052,CAMP0184,2026-07-31,Lead
CONV006364,CUST000636,CAMP0101,2025-12-16,MQL
CONV006365,CUST003620,CAMP0067,2026-04-13,Opportunity
CONV006366,CUST000998,CAMP0117,07/16/2026,Lead
CONV006367,CUST005201,CAMP0121,2026-01-28,SQL
CONV006368,CUST002547,CAMP0193,02/20/2026,Customer
CONV006369,CUST008718,CAMP0181,21-09-2025,Lead
CONV006370,CUST007890,CAMP0027,2024-07-01,Customer
CONV006371,CUST008439,CAMP0188,12 Nov 2025,MQL
CONV006372,CUST005566,CAMP0066,2026-02-10,Lead
CONV006373,CUST008877,CAMP0192,2025-03-23,Customer
CONV006374,CUST000327,CAMP0157,06/10/2025,Opportunity
CONV006375,CUST004083,CAMP0132,09/19/2025,SQL
CONV006376,CUST000832,CAMP0123,2024-07-22,Customer
CONV006377,CUST007208,CAMP0138,2026-07-20,Customer
CONV006378,CUST003750,CAMP0106,29-10-2023,Lead
CONV006379,CUST009846,CAMP0124,24-02-2025,MQL
CONV006380,CUST008019,CAMP0099,2024-07-03,MQL
CONV006381,CUST004532,CAMP0064,2024-12-14,Customer
CONV006382,CUST003197,CAMP0129,16-05-2026,MQL
CONV006383,CUST000375,CAMP0172,2024-06-15,SQL
CONV006384,CUST000235,CAMP0137,2026-07-06,Lead
CONV006385,CUST005071,CAMP0013,2024-06-26,Opportunity
CONV006386,CUST002809,CAMP0109,2023-09-18,Lead
CONV006387,CUST009210,CAMP0111,2025-02-15,Lead
CONV006388,CUST007434,CAMP0062,2025-11-26,Lead
CONV006389,CUST003207,CAMP0095,06/24/2025,Customer
CONV006390,CUST006193,CAMP0162,08/02/2023,MQL
CONV006391,CUST009695,CAMP0219,2023-11-01,Lead
CONV006392,CUST008943,CAMP0058,2025-10-18,MQL
CONV006393,CUST009116,CAMP0095,01/27/2024,SQL
CONV006394,CUST001766,CAMP0118,2023-03-10,SQL
CONV006395,CUST000946,CAMP0107,2025-03-08,MQL
CONV006396,CUST002472,CAMP0048,2026-05-08,Opportunity
CONV006397,CUST006248,CAMP0195,,Customer
CONV006398,CUST003962,CAMP0171,04/05/2026,SQL
CONV006399,CUST004442,CAMP0189,2026-06-23,SQL
CONV006400,CUST000536,CAMP0159,2023-03-19,SQL
CONV006401,CUST008491,CAMP0158,2024-09-01,SQL
CONV006402,CUST004341,CAMP0091,2023-12-28,Customer
CONV006403,CUST004916,CAMP0036,2025-08-28,SQL
CONV006404,CUST006543,CAMP0011,19-05-2024,Customer
CONV006405,CUST005285,CAMP0172,2025-01-27,MQL
CONV006406,CUST006416,CAMP0094,05-06-2024,MQL
CONV006407,CUST000127,CAMP0005,12 Apr 2024,MQL
CONV006408,CUST003007,CAMP0121,30-03-2026,Opportunity
CONV006409,CUST008369,CAMP0038,2025-12-08,MQL
CONV006410,CUST008188,CAMP0048,2025-02-11,Opportunity
CONV006411,CUST006869,CAMP0097,2025-02-16,Customer
CONV006412,CUST007914,CAMP0051,2025-11-16,MQL
CONV006413,CUST007732,CAMP0014,18-01-2024,MQL
CONV006414,CUST002857,CAMP0192,04/23/2026,SQL
CONV006415,CUST005627,CAMP0003,03 May 2023,SQL
CONV006416,CUST000401,CAMP0009,2024-06-19,SQL
CONV006417,CUST001217,CAMP0204,12/08/2023,Lead
CONV006418,CUST004136,CAMP0055,2024-05-09,Customer
CONV006419,CUST003859,CAMP0020,2026-05-22,MQL
CONV006420,CUST008144,CAMP0140,23-02-2025,Customer
CONV006421,CUST006505,CAMP0111,2023-03-25,Opportunity
CONV006422,CUST002228,CAMP0214,03/20/2023,Opportunity
CONV006423,CUST008199,CAMP0217,2025-07-13,Opportunity
CONV006424,CUST009630,CAMP0031,2024-12-26,Customer
CONV006425,CUST009346,CAMP0098,07/13/2024,Lead
CONV006426,CUST001721,CAMP0117,2026-06-01,SQL
CONV006427,CUST000770,CAMP0178,11-10-2024,SQL
CONV006428,CUST008339,CAMP0176,2024-06-14,Lead
CONV006429,CUST008671,CAMP0037,06-02-2025,MQL
CONV006430,CUST003446,CAMP0136,2026-07-13,Lead
CONV006431,CUST005302,CAMP0187,2023-01-05,Lead
CONV006432,CUST009602,CAMP0116,2023-12-21,Lead
CONV006433,CUST003228,CAMP0068,04-09-2023,Lead
CONV006434,CUST008789,CAMP0104,07/13/2024,Opportunity
CONV006435,CUST006407,CAMP0061,2023-01-22,SQL
CONV006436,CUST000580,CAMP0052,2023-12-18,Lead
CONV006437,CUST005621,CAMP0133,2023-05-07,Lead
CONV006438,CUST002293,CAMP0187,2025-01-09,Lead
CONV006439,CUST003518,CAMP0215,2025-02-15,SQL
CONV006440,CUST006467,CAMP0023,2024-06-06,Lead
CONV006441,CUST005401,CAMP0098,,Opportunity
